Reviews,Ratings
I brought my 2nd Audi in 5 months from the sales rep Aaron Smith. He's great. We flew in to town he picked us up from the airport. All of our paperwork was in place and we we in our brand new car driving off within an hours time. We were made to feel a part of the family.,Positive
"Great customer service. Purchased a used Boxster though them and the price was fair, the experience was smooth and without hassle, and they were honest and easy to deal with. Even helped me to set up shipping for out of state delivery. Very highly recommended.",Positive
"I did not purchase a vehicle, however, I feel compelled to write a scathing review - not doing so would be a disservice to anyone who blindly walks into this dealership. That was my first mistake. Two years ago I stopped in on a Saturday afternoon. I encountered a salesman by the name of Steve Blackwell. I made it clear that I purchase a vehicle every couple years and although, my vehicle (a 2013 Mercedes ML 350) at the time was not paid off I was seriously considering buying something new. Steve spent well over an hour discussing purchase and lease options on a hybrid Cayenne with myself and my significant other. I wanted to discuss the options thoroughly with my significant other before making a decision. We went home and did so. Fast forward to the following week. My significant other and I both contacted Steve multiple times to make an offer. It's important that I add that I was willing to work with the numbers. Steve failed to call us back and when I finally spoke with him he had a variety of excuses for his lack of professionalism - ""I was in the hospital"", ""The VIN number you gave me for your vehicle was incorrect"", ""I don't have proof of your insurance"", etc... I emailed him all of the information he claimed he did not have and he told me he would get back to me. I never heard from him again. It was bad business and as you can tell it has left a sour taste in my mouth. I did what any savvy woman would do and walked one block down on Baum Boulevard and formed a lasting relationship with the Rahal sales team at Mercedes Benz of Pittsburgh. I'd like to add that they gladly accepted $90,000 of my money this past July so that I could be the first person in the Pittsburgh area to own a 2018 400 E 4matic Coupe . I have heard many friends rave about their wonderful experiences with Auto Palace. After the fact, all of my friends informed me that I should only deal with the manager Aaron since it was he who provided exceptional service to them when they were in the process of purchasing. So Aaron if you are reading this feel free to reach out to me when I'm in the market for a new vehicle again - that may be the only way I'd consider walking into Auto Palace again. For those of you who took the time to read this and still decide to go to this dealership do not do so in vain - blackball the aforementioned salesman.",Negative
"Terrible customer service from the salesman. Went to look at a cayenne turbo, liked the car and was will to work with the number. The salesman said the best he could do was $100 off. What a joke.",Negative
Excellent warranty service and follow up. I have a 6 month old Macan and it needed some warranty work. They immediately knew what clam shell noise I as complaining about and replicated it without a test drive. The squeaky steering column was also diagnosed as a known issue and parts were immediately ordered from Germany. Every effort was expended to search for the steering part in the US but was determined to be an item from Germany. They ensured that I got my car back whilst waiting for the part. I would certainly come here for service since it is only a short distance from downtown. The shuttle was efficient and drivers courteous.,Positive
"I had always been a bit intimidated by this place, with its very high end Porsches and even some exotics. I had a problem with my 1991 928GT and so I brought it here since it was so close by. I was so pleasantly surprised by the high quality, attentive, and humble service. I can recommend Auto Palace without reservation. This is a fine establishment that treats its customers well and with respect.",Positive
"I came in here to replace my headlight...... It was $17. That is$6 more than Wal-Mart which is right across the street. The service seemed ok, but wow, what a huge mark up. Shop around and save some money Only come here in an emergency, yikes",Negative
I am a bit baffled by the negative reviews on here as I have never received anything short of exceptional customer service. Particularly impressive is Cesario. His knowledge and level of professionalism have me returning to this location whenever my car requires it. Highly recommended.,Positive
One star goes to the friendly staff. Other than that I was sold the wrong part. I won't ever be back since this is NOT THE FIRST TIME I've been sold the wrong part at one of these chains.,Negative
"The worst. First of all I know what I needed. I did not ask for any help. However, when I needed to check out, there was no one at the counter. After waiting five minutes, I asked if anyone was here. Repeated once more. A voice front the back said, "" be with you in a moment sir"". No problem, that's cool. A guy comes out, no hello, no smile, just attitude. He asked me if it was cash or credit. I answered, and I thought that he had not heard me. So, I repeated, credit. I apologized to him, ""I thought that you didn't hear me."" No response. At that point, I was convinced that this guy has a problem. As I left, I asked for his name. Donald he said. I come to this Autozone all of the time. Never again. I am a veteran, I am used to rude people, however this guy got my blood up, this guy don't want that.",Negative
Had a few parts to return and brought my original parts in the store. The guy who helped me was so rude CSR#11 On my receipt. I asked him if he liked his job and he started yelling at me. We were in a yelling argument in the store and I was simply stating he needs to find another job because his customer skills are horrible. Never will Auto Zone get my business too many helpful auto parts places with great service. I feel like because I was a woman he completely disregarded me. Poor service,Negative
"This has to be the worst Autozone I have ever in my entire life stepped foot in! I've always lived in the Green Valley/Henderson area and the service in this area is impeccable state of the art! This Rainbow location has the most rude, unhelpful, inconsiderate and most unorganized store! The manager after I was waiting 15 minutes to get help walked away after servicing another client. The tech that finally assisted me said he had no idea about a rear light for my car that I had to tell him twice the make/model because he was not paying attention! I walked out and will never step foot in there! Now I have to drive 30 minutes out of my way to get some good help! I would advise you partner witg THE GV/Henderson managers and get tips on training your team!",Negative
"This autozone has to be one of the most friendliest, organized stores I've ever been to. Manuel Carvajal helped me with a battery installation and also helped me with my wiper blades. He also helped me with my fuel problem I had horrible gas mileage and he offered me a fuel treatment that was on sale and it helped with my problem. I was so pleased with his services I tried to offer him a tip and he told me he wasn't allowed to take it. I was very upset that I couldn't reward him for his hard work but he told me that. me happy and coming back is worth more then a tip. Would highly recommend this store to anyone.",Positive
"This is a f@#cking terrible autozone! They ordered our rotors days ago said it was transferring from in town but they aren't here they don't know anything or have any answers. When we came last time the computer said they had an inventory of 3 but couldn't find them now this. And now the managers pissy because we want him to call the other store that says they have it, to confirm for us before driving our car that distance.",Negative
This is the worst AutoZone location I have ever been to. The employees are rude and none of them like to help. I went to do a return on a product that the employee recommended that ended up being the wrong part and when I went to return it at 7:30 pm they said I couldn't return it because they closed the registers and the store doesn't close till 9:00 pm. All while these two not so helpful men jus laughed and talked. Wish I would have read their name tags because their attitude is no way I would want my employees treating our customers. Hopefully auto zone reads this and compares it to who was working this day at this time (I jus walked out of the store and did the review in my car after being talked to that way by somewhere I chose to shop) autozone definitely lost my business.,Negative
Dear autozone! Thank you for making me feel like a COMPLETE idiot for asking for a snow brush/ice scrapper for my car and for informing me if I was in Colorado then they would stock it or have those to sell. 1. I know I live in Las Vegas but thanks for being condescending. 2. 3 grown adult men laughing at me. Nice grow up 3. News flash-Mt. Charleston/Red Rock canyon and surrounding valley areas do get snow and our windshields can be icy in the early mornings. To the employees at this location thanks for telling me to check at Walmart. Poor customer service with lots of attitude.,Negative
"I was looking for windshield wipers today, and the passenger side windshield wiper appeared to be out of stock. One of the employees named Carlos looked for it to see if it was in stock, and he found one for me in the back. The wipers came with multiple parts and instead of leaving me to figure out how to put them on, Carlos assembled them and put them on my vehicle. Superb service, friendly staff... And so helpful! A time saver and a life saver!!! Thank you for your help Carlos! I really appreciate how helpful this store is!",Positive
I came to get my headlight changed. They looked up the correct light while the mechanic took out the old one. I was literally in and out in less then 10 min. So awesome!! Really nice guys. They know what their doing and aren't trying to take advantage.,Positive
"So I don't know a lot about cars and I just needed someone to help me put in the transmission fluid I purchased. I went to this autozone and asked if someone would please help me put the fluid in mar car. This bigger lady that worked there said if you didn't buy it here, we can't help you. I understood this but still felt it wasn't friendly. So I then asked if someone could just point out to me where to put in the fluid so I could do it myself. This young guy with glasses that worked there reluctantly agreed to show me. When we went outside and I popped my head, he then told me I don't know where it is and laughed. NO HELP WHATSOEVER! And kind of rude!",Negative
"I was having major electrical issues with my Cadillac. I went in one morning and the guys working literally were taking apart the electrical (which is a huge pain in a GM) and found the issue with my car. I would have never figured it out. We found out it was a custom order piece ($$$), the guys even told me where I can find the part for a tenth of a price and showed me how to install it which was insanely easy. Very happy with the service I receive each time I come in here. I have three different autozones closer to my house but I'll drive a few extra miles for good service.",Positive
"Meh!!!! I'm not a car person by any means, I hear wonderful things about Auto Zone, but to me they are not much better then a Walmart. I've been to two different store in the last few months and I go in knowing nothing and leave knowing less. Maybe its just the female in me but yeah nothing to write home about. I'll stick to Google for any automotive question i may have in the future.",Negative
an employee named jordan shorter chunky mexican maybe Asian mix in there store on 3/18/2018 physically threatened me with violence for carrying an supporting firearms saying He is an oct 1st survivor an when he hears ppl talking about guns he wants to get up an punch them in the fucking face i believe they have yet to fire this mentally disturbed person so i will refuse to shop at this autozone till he is gone,Negative
"Went in to get a new battery because my car wouldn't start and the customer service was amazing! They checked and my battery was under warrantee so they just did the exchange and then put the new battery in for me. Great, friendly employees and great service!",Positive
"Sooo rude! Like absolutely condescending. I go to take my truck in for a new battery as i feel it is going out. The gentleman had no clue how to test my battery. ""I've never seen it like this before"". It's a battery. I don't have a foreign car dude. It's a Chevy. Like what the heck. Just put my stuff back together and I'll go to another one. He had the audacity to say ""well would you change something that you have never seen before"". I guess I'm confused how you work for autozone but don't know squat about different batteries. I'll go to the one on skypoint like planned. Should have went with my gut !",Negative
"Check engine light came on yesterday and my favorite guy, Ryan at Big O was off so I got my diagnostic check here (it's free). Thanks Auto Zone! Paul helped me and he said it's either the spark plugs or ignition coils. Came back today to purchase the spark plugs after speaking to Ryan and Jordan helped me find the right ones at another location. Friendly and helpful employees at this location. Even Chris from Vegas and Buffalo when I picked up the spark plugs. He even suggested I purchase a fuel cleaner to help with the problem my car was experiencing. Took his advice since it only cost $4.99. Whatever it takes to keep my car in tip-top condition. Thanks to the 3 of you for helping me!",Positive
Best customer service! Went in to get engine oil and brake light and it was very fast and they helped me get the right stuff.,Positive
This AutoZone is worthless. They never have anything in stock. The battery machines or basically anything you need is always broken or unavailable. Never had so much dissatisfaction from a store let alone an AutoZone.,Negative
"I came in here Sunday afternoon for power steering fluid for my boyfriends 94 forerunner. Two younger looking dudes who worked there were at the counter talking away and ignored me despite the fact I was standing near them and kept trying to ask a question. When I finally was able to ask a question, they had no idea what I was talking about and pointed me in what turned it to be the wrong direction. An older guy named Larry finally asked me if I needed help and I was able to ask him, he corrected me on something I was confused on and did it in a way that was totally polite and informative and the best part was he wasn't sexist! I feel like he told me the same info he would have told a dude, and that's rare in car shops. He also quoted George Lopez and was super funny. Thanks Larry, you're the man!",Positive
I walked in and asked for someone to check my battery. Rick was quickly outside with the battery tester and when we found that my battery was bad (which I thought was probably the case) he not only put the battery in for me but cleaned the battery connections and made sure it was ready to go. He was amazing!! I would go back to this AutoZone anytime! THANKS RICK!!!,Positive
"I have never in my life been to another AutoZone with such horrible customer service... and I have been to MANY! You can almost say I frequent AutoZone, so when I come into a location for assistance imagine my dismay when the service staff, all 3 of them, acted like it was an ok inconvenience to help me. I was there for a check engine light scan, yes there were several people in line so I was happy to wait for the lines to clear. What I wasn't happy about was having someone tell me to wai, another person tell me to wait and the a third person, after I had been standing there for 15 minutes, tell me the scanner was broken. Really people? The first schmuck who told me to wait and rolled his eyes at me couldn't have mentioned the scanner was broken? Or the second guy who sighed at me also couldn't have mentioned it? Seriously? Then the third guy mentioned the next closest AutoZone and absolutely botched the cross streets. Smh! Epic customer service fail.",Negative
"Ok, so Im an Autozone connoisseur LOL. But for real though. I frequent them! This one is def not my fave. Here you walk in and they have an attitude like ""what do you want?"" and there I go, knowing my shit... yet they dont! I understand they are not mechanics, but wtf, you dont know a damned thing about card?! Thats like going to a computer store and saying ""Uhhh I dont know, but do you wanna buy some memory!?"" NEGATIVE COWBOY! Anyway, Ive put in an application at Autozone and alas never got a call back... its too bad, I know more then these fools! Plush Im super fun and have a nice rack that will sell a mouse trap to a mouse! Also, go online, 99% of the time you can find the product cheaper on autozone.com you may have to wait 7 days but for 30$ ill take it, plus I wont have to deal with these monkeys!",Negative
"I walked in looking for a panel clip for my car because mine is worn out. The guy at the counter did move and show me where i could find it, but i didn't and he didn't help me after that.. then i walked around looking for someone else to help me because god forbid the guy who was at the counter be disturbed again!! anyhow.. i'm going to pepboys next time.. I still haven't found the darn piece i needed after leaving there.",Negative
"Addison sat down with me and went over parts and labor in detail. Because I was paying cash he encouraged me to try and find as many salvage parts as I could. This knocked at least $500 off my repair, some of which was labor. He got me out the door for a good price. Hopefully I won't need auto body repair again any time soon, but if I do I'll definitely be going here.",Positive
Addison supper friendly guy! You feel like family the moment you walk in! My car was damage from a car accident and he kept me up to date about what was going on with my car. I definitely recommend them!My car actually looks better than before the accident that's how good they are!,Positive
"Addison is absolutely amazing, he will always go out of his way to help a customer. He has always made sure my vehicle is taken care of and will do an outstanding job. His employees are also all very professional and friendly. I wouldn't go anywhere else for my auto needs!",Positive
"Addison and the team at ACS are amazing. I brought my car to them on Monday and within a week it was perfect. He constantly kept me updated on the progress and made sure I was completely satisfied when I picked up my car. He went above and beyond my expectations of getting my car back in shape. I would recommend anyone to ACS, great customer service, perfect turn around time and amazing body work!!",Positive
Had the very best experience here today!! Was actually out running an errand and was a little lost. Pulled into ACS to turn around and it was my lucky day. I had been wanting to get a huge scratch across the back bumper checked out (figured it was from a shopping cart driven by a questionable operator!). GM Addison had it buffed out (thanks Rambo!) free of charge! He removed about 95% of the scratches out!! While I waited - they did it on the spot- Addison and I had a lovely chat. Can't thank you enough!! Jenn C.,Positive
The Workers at Automotive Collision Services are well beyond that of any other company. I have never seen the care and ability to detail that they give to all their customers. It is difficult to find mechanics you can trust but I can ensure that these mechanics would never steer you in the wrong direction. They always make sure to do what is best for the customer which is rare these days.,Positive
"I met with Addison who did an estimate on my car, which was hit a little while back. His estimate didn't match mine from the car insurance company. He was able to match my estimate which made me very happy. Not only that but when I came to pick up my car, which looked amazing by the way, he had also cleaned my car inside and out! The service was amazing the work was amazing I would recommend to all.",Positive
Addison was great. Offers great prices and actually cares about you and your vehicle. ACS is a genuine company and I would highly recommend them to anyone looking for any type of work to be done on their car.,Positive
"Friendly, helpful and honest owner. He let me leave car at his store for 1 month free. He also checks the damage of the car and give the estimate of costs to fix it. He will give you his opinion about should you fix the car or not. And all of those are free. No cost at all! Highly recommend this store and the friendly owner!",Positive
I got in a car accident at the end of January. Automotive collision services came out the same day to expect my car and made sure I was well taken care of during the time that it was being repaired. I was often updated with the status of my car and just really felt genuinely cared for. I highly recommend this establishment and will be returning if I have ever future repairs. Thank you guys so much.,Positive
"The towing company next door had left my damaged car in the middle of Smith Road. As I was waiting for another tow truck, the owner of this shop came out to help me. It was after his store hours, so on his own time, he not only took a look at the damage that was done to my car, but allowed me to have the tow truck tow it into his yard. He offered me water and gave me a tour of his garage so I could see where my car would be kept. Unfortunately, the insurance company declared my car totaled, so the owner graciously did not charge me for storing the car or for the inspection and quote. I would highly recommend his services to anyone.",Positive
I was referred to this shop by the Nissan dealership I bought my car at. Everyone was so knowledgeable and professional. They took care of all my insurance issues. I had 2 cars in there for repairs at the same time . They did an amazing job on both cars!!!! I was more than pleased with every aspect of my experience. I will recommend this company to all my friends and family and I will never bring my car anywhere but here in the future.,Positive
"I visited ACS for the first time today. A dealer could not make a repair and only offered a replacement part. As soon as I walked in to this business I was greeted by the owner, Addison. He checked the vehicle and within a few minuted tole me that the repair could be done and he could do it while I waited. The job was finished within an hour and the repair saved me a considerable amount over the replacement. The work was of the highest quality and Addison made me feel as if I was his best customer. Anyone who thinks that exceptional customer service is a thing of the past only needs to work with Addison and ACS. He brings customer service to the highest level. Rich C/.",Positive
"I had my vehicle brought here from around the corner when I was cut-off by another driver and my front end was damaged. Addison was great in explaining his process, the time frame that my car would be in the shop and I left feeling like I was in good hands. When my car was ready it looked brand new and was carefully cleaned inside and out. Top notch work! I'm certainly going to refer others when they need help with repairs.",Positive
I had an unfortunate incident several weeks ago where a Gravel Truck spray my new Nissan Altima with Gravel while passing me on the freeway. It chip my paint up real bad plus my windshield. I took my car to ACS (Automotive Collision Services) for estimate. Addison Gamo the General Manager completed my estimate and was very professional. He had my estimate with pictures completed and emailed to the insurance company in less than 30 minutes. The insurance gave approval the next day. I took my car back in to have them complete the repairs. ACS had my car ready for me 6 days later in less time than I was told. The car was beautiful and they detailed it inside and out. I could not be more happy and satisfied. Addison treated me more like a friend than a customer great shop and great people.,Positive
"Outstanding Customer Service!!!! Addison and his team did everything they could to get my car up and running asap! Had a nasty collision and of course the insurance company wanted to do ""good enough"" repairs. Pulled my car from that shop and brought it here. They got the insurance company to pay out what they should have initially and now my car looks brand new! I will definitely be a life long customer and recommend this shop to everyone who needs any type of work done on their vehicles. You will NOT be disappointed with the work these guys too. I also had them quote some other work that was not accident related and I was shocked by how inexpensive the repair was compared to every mechanic I have ever been to. AMAZING company. Good to know there are Honest and Quality shops out there.",Positive
"I've been in here twice and have nothing but great things to say, each time I had been helped right away and was in and out quickly. The first time a piece fell off underneath my car, they took care of it free of charge. About a week later I ran over a parking curb and another piece fell off, they quickly fixed it for me and I was on my way. The owner also makes the experience here that much better, he truly cares about his customers and puts in a great effort to make sure they have their needs met. Will definitely be back here in the future!",Positive
"I heard of ACS through a family member of mine and I will never choose a different collision service from hear on out. They are affordable and truly care about your cars health. Very nice and inviting people who just want to lend a helping hand. I had major problems with my power steering, A/C, as well as radiator. Instead of spending a fortune to diagnose and replace parts that were not needed to be replaced they only had to replace my radiator cap and fill some of the levels in my car. She works good as new now and I still have $$ in the bank!",Positive
"Great Quality. Friendly People, and Fair Pricing. This happened to be the very first time that I actually enjoyed my experience with a body shop. The day of the accident I took my Mercedes in with a bent fender, busted light, and some bumper damage and Addison (the general manager) worked with me presenting different estimates and options. Extremely fair and up front with all the costs I never had to haggle but still gave me a discount wherever he could which I greatly appreciated. All in all I saved over $700 versus going somewhere like a Penske Automotive, and honestly got better quality from ACS. On the day I picked the car up, Addison personally introduced me to the people who worked on the car who were extremely friendly, professional, and talented. I cannot recommend this place enough, they go far far over and above what any normal person would expect.",Positive
I rushed in for a wiper blade during my lunch hour and was promptly helped by JD (I think). He was a joy to talk to and found my wiper blade in an instant and installed it in like 30 seconds! Will be back!,Positive
"I've never had a good experience here. Aside from a very few exceptions, the staff is consistently awful. After my last experience, I'm done. I came in around 6:30 or 7:00. A manager was on the floor and asked if I needed help with anything. There were two or three customers in line, and I was in no hurry, so I declined the help and browsed for approx ten minutes. When the line cleared, I asked the employee at the register to look up the size of my headlight bulb. The employee said nothing, he just walked over to the headlights, picked the most expensive option, immediately walked back to the register and rang it up. The first thing this employee said to me was ""cash or card?"" I said, ""I really just wanted the size. There are other, less expensive bulbs. I'm going to look at them."" The employee groaned and said, ""Whatever you want. It's not standard. It's not going to look right."" The employee was clearly angry that I wanted to look at their selection, despite not having even looked at my car. Now I don't need my hand held buying auto parts, but this is just unnecessary. First, I didn't ask for him to ring me up. I asked for the size of my headlight bulb. No need to be so frustrated or rude. It was 7:00pm--3 hours until close. I wasn't keeping anyone from leaving, and I was only in the store a grand total of twenty minutes (the place was empty by the time he got to me). Second, don't try to force me to buy a more expensive part. What kind of service is that? I get better customer service at fast food restaurants and the DMV. Third, the manager watched all of this happen and did nothing. I've worked service jobs all my life, and I try to keep in mind that you never know what someone is going through. Maybe this guy was dealing with struggles I don't understand. If that's the case, maybe he should look into working in a non-service position with the company. You can't get angry at customers for wanting to actually look at Autozone's products before making a purchase. From now on I'll go out of my way to visit another store. This has been the same service I've always received here, and management doesn't care. Don't even think about asking for help with installing anything unless you've got a few hours to spare waiting (which is a whole other, longer, more boring story). Sorry Autozone, but after years of consistently awful service at this location (not just mediocre, but actively rude and unhelpful), you've lost my business for good.",Negative
Awesome service from Scotty tonight. Came in with a belt from a whole house fan and he was able to match it right up. Very polite and will definitely go back.,Positive
"Went in to get a new windshield wiper blade and was OVERWHELMED by the number of options. One of the AutoZone associates saw me struggling and came over to help me pick the right blade. He didn't upsell me and really took the time to talk through why he was recommending the one I ended up with. Afterwards he offered to put the blade on for me. That's right, he offered without me even having to ask. Excellent and prompt customer service. What a breath of fresh air!",Positive
"Worst customer service experience. Attempted to return $50 part purchased from different Auto Zone in town. First clerk informed me the manager does not like to return parts from other stores. Eventually, the manager had to handle my return. After a few minutes told me I could not return part because my name was not listed under account. Informed me my wife would have to make return. By far the worst retail experience I've had.",Negative
I will say they are very friendly here. And helpful! Anytime I come here I am always greeted immediately. They never mind checking my engine light and suggesting what I can do. Also they have educated me on checking the basics on my car. They are just so nice here I have no complaints.,Positive
"Ok, it's an autozone... but seriously this one was pretty good for the service. As soon as we walked in we were greeted, and there was a guy in the back willing to help us as soon as he saw that bewildered look on my, ""I don't know what the heck I'm doing"" face. He walked over and told the me benefits of each product and the ones that were crap, and not to use. He was patient despite the line forming to ask him for help, and he assisted everyone he could quickly. Wait time at the register was also quick and the lady working was funny and super pleasant even though a customer had just given her a hard time. I would come back for all my ""I don't know what this thing a ma bob for my car does..."" moments. :)",Positive
I have never met a company that was so good at what they do. I've had to deal with the BMW dealership for years but I'm so glad to have found these guys. Best experience ever. Great job I will send everyone I know to you. Thank you thank you thank you,Positive
I have not got anywhere since I bought my car in 2010. These guys know their stuff in and out. Brad is great to work with and knows details on the BMW.,Positive
Nate and his crew always treat you fair and work really hard to finish their work ahead of time. Wish the serviced all makes and models!,Positive
"These guys are honest. I've been here two times and they've been straight forward. They priced pretty competively as I've shopped around before committing to my first repair. This company gained more of my respect as they don't sit around trying to pull scare tactics on you. In other words, you don't have to worry about going in to get your brakes changed and then worry about them coming back with 5 other different issues. They will make suggestions though and leave the decision up to you. Brad and his team are first class. Thanks for everything guys!",Positive
"Kameron and crew always take great care of me and my Car. Honest, reliable service done on quote and on time each time. All my questions are answered and you really feel a part of the process with the thorough explanation of the problem. They are always first to point out any unnecessary parts or services not needed to save you when they can. I always recommend them to anyone with a BMW or Mini!",Positive
"I just took two of my BMWs to Babbit Motor Werks for the first time, and it was a really great experience. The level of communication between the shop and the customer, even before you bring in your car, is like nothing that I have experienced before. You actually feel as though you are involved in the service process, as opposed to being a victim of your own automobile's problem. When you hear the prices, you don't feel as though you probably should have just traded in the car. People always say, ""I wish I had a place that I trust to service my cars."" I feel that way now after my first experience with Babbitt Motor Werks.",Positive
Always great service and reasonable prices. Babbitt has serviced our two BMWs for 5 years and never had to take them back twice. Been very honest and upfront.,Positive
"I've been taking my E46 M3 to the Babbit Tempe location since 2014. Jen is extremely attentive and quick to respond to email questions or appointment scheduling. Kameron and the rest of the techs are knowledgeable, extremely flexible in fitting me in on short notice, always take exceptional care of my car and do so at reasonable prices. I wouldn't take my M anywhere else.",Positive
"The staff is friendly and knowledgeable about all things BMW. Prices are very competitive, and they get services completed quickly so you are on your way.",Positive
Convertible top was broken on my BMW Z4. hydraulic pump had to be replaced. Price was very reasonable and less than half of amount quoted at dealership. Considering that I needed my car back ASAP as I was driving out of town the following week they did a great job. Brad is very knowledgeable and provided exceptional customer service.,Positive
"These guys are the only source for your BMW, very honest ppl and fully knowledgable of Beemer world, thanks Babbitt team",Positive
"I love Babbitt Motor Werks, I have been a client of theirs for over 10 years. Nate always gives me more that I ask for in making sure that my car is performing well. Once, he even came out to the shopping center I was broken down at and gave me a jump, and then finished up with replacing the battery! Jenn runs a tight ship and I get top notch service from them! I would highly recommend!",Positive
"New to town, did a very nice job on our x3 oil leak, fair, fast, and very friendly. Highly recommend. Don't see this type of service often ! Thanks, Rich and Sandy",Positive
"The absolute best experience my family has ever had with a mechanical shop! We have had BMW's for the past 10 years and after a first and last terrible experience with the dealer we got lucky enough to find Babbit. Usually price and quality dictate my choice in auto repair but I can honestly say that Babbit's customer service makes it all worth it. No matter whom you speak to you can be assured to get a friendly, knowledgeable and most importantly honest answer. Just got a brake flush today at which time they changed my wife's brake light for free, topped her oil for free and finished the job all in 20 minutes! I always get a second quote on any and all service on our vehicles because I'm CHEAP but Babbit never is beat on price. Frankly they are never beat on any facet of business. BMW certified mechanics and a family business that keeps us coming back! Thanks Babbit",Positive
"Just had another superb experience with Babbitt Motor Werks! I want to commend Cameron on his outstanding customer service. Technician Zac deserves the same praise for his excellent work. My 328i had a leak that was caused by a windshield installer, Zac caught this, he also did a great job installing the new blower motor that was shorted out as a result of this leak. Cameron is always great at giving good advice. He was instrumental in assisting me with the warranty issues related to the company that had improperly installed my windshield. Thanks guys, keep up the good work! I will definitely be back when next service is due, wouldn't use anyone else!",Positive
Had my car serviced today They fixed the problem and went beyond that to make sure that the car was running good Very good people.. trustworthy They are the best.... Brad took care of me right away If I could give them 10 stars I would they deserve it..,Positive
"Been having my four BMWs serviced here during the past four years (528, X5 4.6, M3 and 330) and never had an issue with them. Nathan the owner is really nice and will help you anyway he can. Great prices all around. If you want to have Nathan the owner work on your car then head up to the Scottsdale location and his wife Jennifer will check you in. He is extremely thorough so you won't be disappointed.",Positive
"These guys are awesome, they were able to take care of my oil change with out an appointment, and hit me out of there within a few minutes and took the time to inspect my vehicle and take care of some real light bulbs, and give me an inside on future maintenance I'll be needing! They are friendly and trustworthy, GREAT QUALITY!",Positive
"went to babbits with my car for some repairs, when they came back with an estimate that was almost as high as the dealer, i asked if they offered a financing option they got very rude and said "" if you can't afford to repair your car, maybe you shouldn't own one "" i for one didn't appreciate being treated this way and would not recommend this shop to anyone",Negative
"I just had my x3 repaired and am thankful for an honest family run independent BMW shop. They are much more affordable than the stealer ship and friendly. Brad, Jen and the techs are the best. My car will always return to them for their high quality service and repair.",Positive
"Summary: If you drive a BMW you should be taking it to these folks. Period. ""People giving 5 star rating to a car repair shop? Someone wake me up!!"" Is that what you are thinking? Well, these guys truly deserve it. If you drive a BMW you have probably had those mini heart attacks at the dealer when you took in your vehicle for a scheduled maintenance (or God forbid with a check engine light on) . I have been coming to these folks for about a year now and always had a pleasant experience. They explain everything, are courteous and professional and their rates are reasonable. They do not offer a loaner when you drop off the car but given the level of service they provide, I cannot and will not take away a star for that. Now, paying over $400 for a battery change is a different battle that I should be fighting with the manufacturer for. On second thought, they didn't send me an invite to come buy their vehicle. Now, did they? :)",Positive
"I took my E36 to Babbit to replace my water pump, and these guys are amazing. Very knowledgeable and professional. I was grateful that they worked to fit me into their schedule on such short notice because I had to drive to California the next day! They had no problem fulfilling some special requests I had including the type of part I wanted, and I consider it a plus that they only use genuine BMW parts. Hey, they even wash your car when they are done.",Positive
"I have had both routine maintenance and unexpected repair at Babbitt a total of 3 times, and, I am a big fan. The prices are better than Chapman and the service is extremely fast. It can be tough to swallow the cost of bmw repair, but Babbitt has a good shop. I was happy to find out that the parts and service come with a 2 year warranty too. As a side note - the guy at the front desk has a fun attitude and has looked out for me.",Positive
"Have been taking my 2002 Mini Cooper to Babbitt's for a couple of years now. They have always provided excellent service. Prices are fair and they never do work or charge me for something I don't need. Had my car in there today and Brad took care of me. Great customer service. Highly recommend them. Used to always take my car to the Mini dealer but after going to Babbitt's for a second opinion about an expensive repair, they checked out my problem and fixed it. The dealer's diagnosis was wrong and was literally 20 times more expensive that what I paid Babbitt's.",Positive
"When it comes to cars, especially foreign cars, it's nearly impossible to find someone you can trust. I've been to two of the three locations in town and every time I'm treated with respect and honesty. Owning a BMW is an expensive choice once your warranty runs out, so having a shop like this is comforting. I won't EVER take my car back to the local dealership for that reason. Great job fellas, keep up the good work!!",Positive
"These guys always take care of my 2002 E46 with 190k. Brad is friendly and let's you know details of any problems they find vs the dealership just throw numbers at you. I have been going here for 4 years and recommend them to all BMW owners. This last time I went there for brakes and they told me all the wear on both front and back and did not try to sell me on 4 brakes when only 2 were needed. Miles I did notice this last time that my antifreeze or washer fluid was not topped up, but I specifically didn't ask for it so maybe that is the reason. Great job guys Paul B Tara D",Positive
"They are Excellent! Being a Single woman, I have been ripped off many times from other Car repairs- These guys are awesome and very fast! They will have your repair done very quikly and it will be done right. Nathan- ""The Owner"" even helped me get my money back from another car place that ripped me off. I am very thankful for your help and Honesty- Keep up the Good work! -Julie",Positive
"Had been going here for a while but not any more. Left car overnight because it was not starting properly. Didn't hear back from them in the morning even after leaving a message. When I finally got through they seemed uninterested in hearing my description of the problem. Wasn't until late in the afternoon that I heard back--they found no faults on the computer so that was that. I started asking some questions, hoping to get ideas about this potentially very serious problem. Got attitude and annoyance in response. Also realized that the car had missed some maintenance even though it had just been in twice recently. I don't have confidence in them anymore.",Negative
"Ez to deal with, cost effective, and very knowledgable about bmw's. This will be my primary place for service on my bmw. Thanks Babbitt's.",Positive
"The guys at Babbitt Motor Werks are a pleasure to work with. I have trusted them to do all of the work on my BMW. Their prices are decent for the work they perform. If you need work done to a BMW, definitely check out Babbitt Motor Werks.",Positive
